id,calle_principal,numero,calle_secundaria,tipo_controlador,tipo
"1",16 De Septiembre,"1",Colima,,
"2",16 De Septiembre,"2",Nuevo Leon,C26,
"3",16 De Septiembre,"3",San Luis Potosi,C26,
"4",16 De Septiembre,"4",Tlaxcala,C26,
"5",16 De Septiembre,"5",Vallarta,C26,
"6",2 De Abril ,"6",Hilario Martinez,C26,
"7",2 De Abril,"7",Baja California,C26,
"8",2 De Abril,"8",Chiapas,,
"9",2 De Abril,"9",Palestina,C-2000,
"10",2 De Abril,"10",Paricutin,C26,
"11",2 De Abril,"11",Pirineos,C-2000,
"12",2 De Abriil,"12",Sinaloa,C26,
"13",2 De Abril,"13",Tepic,C26,
"14",5 De Febrero,"14",Nuevo Leon,C26,
"15",5 De Febrero,"15",San Luis Potosi,C26,
"16",5 De Mayo,"16",Bravo,C26,
"17",Aaron Saenz,"17",Arnulfo S. Garza,C-2000,
"18",Aaron Saenz,"18",Manuel J. Clouhtier,C-2000,
"19",Aaron Saenz,"19",Puente La Unidad,C-2000,
"20",Aaron Saenz,"20",Rogelio Cantu Gomez,C-2000,
"21",Alejandro Rodas,"21",Cumbres Elite,C 200,
"22",Alejandro  De Rodas,"22",Hacienda Pañuelas,C-2000,
"23",Alejandro De Rodas,"23",Paseo De Las Estrellas,C26,
"24",Alejandro De Rodas,"24",Pedregal De Las Colinas,C26,
"25",Alejandro De Rodas,"25",Pedro Infante,C 200,
"26",Alejandro De Rodas,"26",Seguridad Social,C26,
"27",Alfonso Reyes,"27",Acuaeducto,C 200,
"28",Alfonso Reyes,"28",Henrry Dunnant,C26,
"29",Almazan,"29",Anillo Metropolitano (la Aurora),C200,
"30",Almazan,"30",Bernardo Reyes,C26,
"31",Almazan,"31",Rodrigo Gomez,C26,
"32",Almazan,"32",San Martin,C26,
"33",Almazan,"33",Teran,,
"34",Alvarez,"34",5 De Mayo,C26,
"35",Alvarez,"35",Carlos Salazar,C26,
"36",Alvarez,"36",Espinoza,C26,
"37",Alvarez,"37",M.m. De Llano,,
"38",Alvarez,"38",Ruperto Martinez,C26,
"39",Alvarez,"39",Treviño,C26,
"40",Amado Nervo,"39",Espinosa,,
"41",Amado Nervo,"41",J.m. Herrera,C26,
"42",Amado Nervo,"42",M.m. De Llano,C26,
"43",Amado Nervo,"43",Treviño,,
"44",America,"44",Reforma,C 200,
"45",America,"45",Ruperto Martinez,C200,
"46",America,"46",Treviño,C200,
"47",Antiguocaminoavilla De Santiago,"47",Cervera Delrio,C200,
"48",Antiguo Camino A Villa De Santiago,"48",El Vergel,C200,
"49",Antiguos Ejidatarios,"49",Tramoyistas,C-2000,
"50",Antonio I. Villarreal,"50",Francisco Beltran,C26,
"51",Arteaga,"51",20 De Noviembre,C-26,
"52",Arteaga,"52",Amado Nervo,,
"53",Arteaga,"53",America,C-2000,
"54",Arteaga,"54",Miguel Nieto,C-200,
"55",Ayutla ,"55",Hilario Martinez,C-200,
"56",Ayutla,"56",Michoacan,C-200,
"57",Ayutla,"57",Paricutin,C-26,
"58",Aztlan,"58",Apolo,C-26,
"59",Aztlan,"59",Azteca,C-26,
"60",Aztlan,"60",B Mitre,C-200,
"61",Aztlan,"61",Cabezada,C-200,
"62",Aztlan,"62",Compostela,C-26,
"63",Aztlan,"63",Coyoacan,C-26,
"64",Aztlan,"64",Esquisto,,
"65",Aztlan,"65",Las Rocas,C-26,
"66",Aztlan,"66",Manzana,C26,
"67",Aztlan,"67",No Recoleccion,C26,
"68",Aztlan,"68",Palacio De Justicia,,
"69",Aztlan,"69",Rangel Frias,,
"70",Aztlan,"70",Tlatelolco,C26,
"71",Aztlan,"71",Uxmal,C26,
"72",B. Mitre,"72",Camino Real,C26,
"73",B Mitre,"73",Julio A. Roca,,
"74",B. Mitre,"74",La Esperanza,,
"75",Bernardo Reyes,"76",Apodaca,C-200,
"76",Bernardo Reyes,"77",Fco. Lagos,C-200,
"77",Bernardo Reyes,"78",Fco. Leon De La Barra,C-2000,
"78",Bernardo Reyes,"79",Fidel Velazquez,C-2000,
"79",Bernardo Reyes,"80",Mariano Salas,C-2000,
"80",Bernardo Reyes,"81",Palacio De Justicia,C-200,
"81",Beranrdo Reyes,"82",Romulo Diaz De La Vega,C-200,
"82",Bernardo Reyes,"83",Santiago,,
"83",Cabezada,"85",Antiguos Ejidatarios,C-200,
"84",Cabezada,"86",De La Pradera,C26,
"85",Cabezada,"87",Del Pastizal,C26,
"86",Cabezada,"88",Marco,C-200,
"87",Cabezada,"89",Nepanta,C26,
"88",Cabezada,"90",Palmin,C-26,
"89",Camino Al Mirador,"91",Acueducto,C-200,
"90",Camino Al Mirador,"92",Primavera,,
"91",Camino Real,"93",3a. De Ruteros,C-26,
"92",Camino Real,"94",Apolo,C-26,
"94",Camino Real,"96",Hermanos Flores Magon,C-26,
"95",Camino Real,"97",Jose Santos Palomo,C-26,
"96",Camino Real,"99",Obrero Mundial,C-26,
"97",Camino Real,"100",Uniones,C-26,
"98",Campos Eliseos,"102",Primavera,,
"99",Carlos Salazar,"103",Amado Nervo,C-26,
"100",Carlos Salazar,"104",America,C-200,
"101",Carlos Salazar,"105",Colegio Civil,C-26,
"102",Carlos Salazar,"106",Diego De Montemayor,C-26,
"103",Carlos,"107",Emilio Cararnaza,c-26,
"104",Carlos Salazar,"108",Jimenez,C-26,
"106",Carlos Salazar,"110",Martin De Zavala,C-26,
"107",Carlos Salazar,"111",Miguel Nieto,,
"108",Carlos Salazar,"112",Platon Sanchez,C-26,
"109",Carlos Salazar,"113",Vallarta,C-26,
"110",Carretera Nacional,"114",La Estanzuela,C-200,
"111",Chapultepec,"115",3ra. Zona,C-200,
"112",Churubsco,"116",Francisco Beltran,,
"113",Churubusco,"117",Via Tampico,C-26,
"114",Colon Yt Vicente Suarez,"118",,C-2000,
"115",Comision De Tripartita,"119",Del Trabajo,C-26,
"116",Cuauhtemoc,"120",Reforma,C-26,
"117",Degollado,"121",Matamoros,C-200,
"118",Descubridores,"122",Juan De Ayolas,,
"119",Diego De Montemayor,"123",Espinoza,C-26,
"120",Diego De Montemayor,"125",Ruperto Martinez,C-26,
"121",Diego De Montemayor,"124",Reforma,C-26,
"123",Dr. Coss,"127",Carlos Salazar,C-26,
"124",Dr. Coss,"128",Espinosa,C-26,
"125",Dr.coss,"129",Matamoros,C-26,
"126",Dr. Coss,"130",Raymundo Jardon,C-26,
"127",Dr. Coss,"131",Ruperto Martinez,C-26,
"128",Edison,"132",Anaya,C-26,
"129",Edison,"133",Lombardini,C-26,
"130",Edison,"134",Pedro Velez,C-26,
"131",Emiliano Zapata,"135",Luis Echeverria,C-26,
"132",Emilio Carranza,"136",5 De Mayo,C-26,
"133",Emilio Carranza,"137",Espinosa,,
"134",Emilio Carranza,"138",Ruperto Martinez,C-26,
"135",Escobedo,"139",15 De Mayo,C-26,
"136",Escobedo,"140",5 De Mayo,C-26,
"137",Escobedo,"141",Allende,,
"138",Fidel Velazquez,"142",Penitencieria,C-26,
"139",Fidel Velazquez,"143",Rodrigo Gomez,,
"140",Francisco Marquez,"144",Carlos Salazar,,
"141",Fundadores,"145",Adolfolaubner,,
"142",Fundadores,"146",Cazadores De Galeana,C-200,
"143",Galeana,"147",15 De Mayo,,
"145",Galeana,"148",5 De Mayo,C-26,
"146",Galeana,"149",Ruperto Martinez,C-26,
"147",Garza Sada,"150",Salto Del Agua,,
"149",Gobernadores,"151",Rangel Frias,C-2000,
"150",Gonzalitos,"152",Volcan De Jusco,,
"151",Guerrero,"153",15 De Mayo,C-26,
"152",Guerrero,"154",5 De Mayo,,
"153",Guerrero,"155",Los Angeles,C-2000,
"154",Hidalgo,"156",20 De Noviembre,,
"155",Hidalgo,"157",Degollado,C-26,
"156",Hidalgo,"158",Picachos,C-26,
"157",Hidalgo,"159",Porfirio Diaz,,
"158",Hidalgo,"160",Sierra Madre,,
"159",Insurgentes,"161",1ra Avenida,C-26,
"160",Insurgentes,"162",Aaron Saenz,C-2000,
"161",Insurgente,"163",Puerta Del Sol,C-26,
"162",Insurgentes,"164",San Jemo,C-26,
"163",J. Cantu Leal,"165",Jose Alvarado,C-26,
"164",Jose Angel Conchello,"166",Constituyentes Del 57,,
"165",Jose Angel Conchello,"167",Emiliano Zapata,C-26,
"166",Julio A. Roca,"168",Apolo,,
"167",Julio A. Roca ,"169",Marco,C-2000,
"168",Junco De La Vega,"170",Pirineos,C-2000,
"169",La Rioja,"171",Cervera Del Rio,C-2000,
"170",Las Rocas,"172",Andesitas,C-26,
"171",Las Rocas,"173",Las Huertas,,
"172",Las Rocas,"174",Marmol,C-26,
"173",Las Rocas,"175",Oceano Artantico,C-26,
"174",Las Rocas,"176",Porfido,C-26,
"175",Lazaro Cardenas,"177",Insurgentes,C-26,
"176",Lazaro Cardenas,"178",Rio Nazas,C-26,
"177",Lazaro Cardenas,"179",Josefa Ortiz De Dominguez,c-26,
"179",Libertad H Hilario Martinez,"181",,,
"180",Libertad,"182",Baja California,,
"181",Libertad,"183",Chiapas,,
"182",Libertad,"184",Nuevo Leon,C-26,
"183",Libertad,"185",Paricutin,,
"184",Libertad,"186",Sinaloa,,
"185",Libertad,"187",Tepic,,
"186",Los Angeles,"188",Diego Diaz De Berlanga,C-2000,
"187",Los Angeles,"189",Felix U. Gomez,C-2000,
"188",Luis Donaldo Colosio,"190",Del Centro Del Norte,C-26,
"189",Luis Elizondo,"191",Rio Aguanaval,C-26,
"190",Luis Elizondo,"192",Rio Panuco,C-200,
"191",Luis Mora,"193",General Anaya,C-26,
"192",Luis Mora,"194",Villagran,,
"193",Madero,"195",Vicente Suarez,,
"194",Magallanes,"196",Emilio Carranza,C-26,
"195",Manuel L. Barragan,"197",Mariano Salas,,
"197",Miguel Nieto,"198",M.m. De Llano,C-200,
"198",Miguel Nieto,"199",Reforma,C-2000,
"199",Miguel Nieto,"200",Rupuerto Martinez,C-200,
"200",Morones Prieto,"201",Dr. Roberto J. Cantu,C-200,
"201",Morones Prieto,"202",España,C-200,
"202",Morones Prieto,"203",Pio X,,
"203",Morones Prieto,"204",San Francisco,,
"205",Nepenta,"205",Farolillo,C-26,
"206",Nogal,"206",Abedul,C-26,
"207",Nogal,"207",Zapopan,C-26,
"208",Oceano Antartico,"208",Mar Tirreno,C-26,
"209",Oceano Antartico,"209",Tlatelolco,C-26,
"210",Pablo A. De La Garza,"210",Jose Marti,,
"212",Padre Mier,"212",20 De Noviembre,C-200,
"213",Paseo De Las Estrellas,"213", Los Triunfadores,C-26,
"214",Paseo De Los Leones,"214",Insurgentes,C-2000,
"215",Paseo De Los Leones,"215",Cumbres Del Sol,C-200,
"216",Paseo De Los Leones,"216",Cumbre Elite,C-200,
"217",Paseo De Los Leones,"217",De La Cima,C-200,
"218",Paseo De Los Leones,"218",Descubridores,C-2000,
"219",Paseo De Los Leones,"219",Jordan,C-26,
"220",Paseo De Los Leones,"220",Paseo De Cumbres,C-200,
"221",Paseo De Los Leones,"221",Puerta De Hierro,C-200,
"222",Paseo De Los Leones,"222",Sevilla,C-200,
"223",Pedro Martinez,"223",Tepic,C-200,
"224",Penitenciaria,"224",Federico Idar,,
"225",Pino Suares,"225",Reforma,,
"226",Pio,"226",16 De Septiembre,,
"227",Pio X,"227",5 De Septiembre,C-26,
"228",Platon Sanchez,"228",Espinoza,,
"229",Platon Sanchez,"229",Pedro Noriega,C-26,
"230",Platon Sanchez,"230",Reforma,C-26,
"231",Platon Sanchez,"231",Ruperto Martinez,C-26,
"232",Portal Del Huajuco,"232",Antiguo Camino A Santiago,C-200,
"233",Progreso,"233",San Nicolas,C-26,
"234",Prol. Madero,"234",Hermanos Flores Magon,,
"235",Rangel Frias,"235",No Reeleccion,C-200,
"236",Reforma,"236",Juan N. Mendez,C-26,
"237",Ricardo Covarrubias,"237",Peñarol,,
"238",Rio Nazas,"238",Isabel De Farnesio,C-26,
"239",Rio Nazas,"239",Peseo Ma. Guadalupe,C-26,
"240",Rio Nazas,"240",Santos Cantu Salinas,C-25,
"241",Rio Panuco,"241",Av. Del Estado,C-26,
"242",Rio Panuco,"242",Palestina,c-26,
"243",Rio Panuco,"243",Paricutin,C-26,
"244",Rio Panuco,"244",Rio Aguanaval,C-26,
"245",Rodrigo Gomez,"245",Palacio De Justicia,C26,
"246",Rodrigo Gomez,"246",Penitencieria,,
"247",Rodrigo Gomez,"247",Rangel Frias,C-2000,
"248",Rodrigo Gomez,"248",San Bernabe,,
"249",Rodrigo Gomez,"249",San Martin,C-26,
