fid,id sistema,id ruta,nombre,nombre completo,grupo,modalidad,subsistema,tipo unidad,longitud,zona
"2375","148","4",103VV,103 Villagran,Ctm Feat,Complementaria,LRC,Panoramica,24.05,Limite Municipal
"2376","149","5",103VC,103 Centro,Ctm Feat,Complementaria,LRC,Panoramica,25.32,Limite Municipal
"2377","157","30",2L,2 Larga,Transregio,Complementaria,LRC,Panoramica,45.74,Limite Municipal
"2378","159","136","202",202 Santa Catarina - Vivienda Digna,Martinez Garcia,Complementaria,LRC,Panoramica,63.15,Limite Municipal
"2379","161","137","6",6 Larga,Martinez Garcia,Complementaria,LRC,Panoramica,57.04,Limite Municipal
"2380","178","168",330UP,330 Unidad Piloto,Ctm Gpe,Microbus,OTE,Midibus,32.48,Limite Municipal
"2381","179","169",330D,330 Delfines,Ctm Gpe,Microbus,OTE,Midibus,32.98,Limite Municipal
"2382","154","27",201M,201 Metrobus,Ruta 201,Complementaria,LRC,Panoramica,36.34,Limite Municipal
"2383","155","28","201",201 Santa Catarina - San Nicolas,Ruta 201,Complementaria,LRC,Panoramica,63.97,Limite Municipal
"2384","167","139","408",408 San Jeronimo - Aud. San Pedro,Martinez Garcia,Metrobus,PTE,Panoramica,16.18,Limite Municipal
"2385","207","124",70V,70 Vivienda Popular,Martinez Garza,Radial,OTE,Panoramica,33.61,Limite Municipal
"2386","208","125",70T,70 Tolteca,Martinez Garza,Radial,OTE,Panoramica,33.61,Limite Municipal
"2387","154","27",201M,201 Metrobus,Ruta 201,Complementaria,LRC,Panoramica,36.34,Limite Municipal
"2388","155","28","201",201 Santa Catarina - San Nicolas,Ruta 201,Complementaria,LRC,Panoramica,63.97,Limite Municipal
"2389","167","139","408",408 San Jeronimo - Aud. San Pedro,Martinez Garcia,Metrobus,PTE,Panoramica,16.18,Limite Municipal
"2390","207","124",70V,70 Vivienda Popular,Martinez Garza,Radial,OTE,Panoramica,33.61,Limite Municipal
"2391","221","159","4",4 Circunvalacion,Martinez Garcia,Radial,,Panoramica,19.21,Limite Municipal
